  ARCHIVOS SOSPECHOSOS  (RMS < 0.005) LISTA 2
======================================================================
  Archivo                                       RMS      Pico    Duración
  05_01_05_1_021_01.wav                      0.0043    0.0756      4.64 s
  12_07_05_1_024_01.wav                      0.0043    0.0480      4.67 s
  12_01_05_1_012_01.wav                      0.0043    0.0676      4.64 s
  12_07_05_1_038_01.wav                      0.0043    0.0516      4.64 s
  05_07_05_1_019_01.wav                      0.0043    0.0623      4.64 s
  13_01_05_1_046_01.wav                      0.0044    0.0545      4.64 s
  13_06_05_1_049_01.wav                      0.0044    0.0540      4.64 s
  12_06_05_1_049_01.wav                      0.0044    0.0672      4.64 s
  05_01_05_1_069_01.wav                      0.0044    0.0401      5.06 s
  01_07_05_1_007_01.wav                      0.0044    0.0774      4.67 s
  21_01_05_1_049_01.wav                      0.0044    0.0598      4.66 s
  12_06_05_1_041_01.wav                      0.0044    0.0529      4.64 s
  05_01_05_1_047_01.wav                      0.0045    0.0393      4.64 s
  20_06_05_1_065_01.wav                      0.0045    0.0600      4.67 s
  20_06_05_1_055_01.wav                      0.0045    0.0604      4.64 s
  05_06_05_1_010_01.wav                      0.0045    0.0791      4.64 s
  05_00_05_1_035_01.wav                      0.0045    0.0329      4.67 s
  12_01_05_1_027_01.wav                      0.0046    0.0653      4.64 s
  05_07_05_1_032_01.wav                      0.0046    0.0551      4.67 s
  01_05_05_1_033_01.wav                      0.0046    0.0854      4.64 s
  13_06_05_1_061_01.wav                      0.0046    0.0447      4.64 s
  12_07_05_1_040_01.wav                      0.0046    0.0433      4.64 s
  01_06_05_1_026_01.wav                      0.0046    0.0501      4.66 s
  05_01_05_1_015_01.wav                      0.0046    0.0537      4.64 s
  12_06_05_1_011_01.wav                      0.0046    0.0552      4.64 s
  12_06_05_1_043_01.wav                      0.0046    0.0512      4.64 s
  12_01_05_1_030_01.wav                      0.0046    0.0564      4.64 s
  12_06_05_1_018_01.wav                      0.0047    0.0615      4.67 s
  05_01_05_1_057_01.wav                      0.0047    0.0430      4.64 s
  13_06_05_1_047_01.wav                      0.0047    0.0660      4.67 s
  05_01_05_1_043_01.wav                      0.0047    0.0485      4.66 s
  20_06_05_1_053_01.wav                      0.0047    0.0478      4.66 s
  12_01_05_1_015_01.wav                      0.0047    0.0676      4.64 s
  05_06_05_1_011_01.wav                      0.0047    0.0832      4.67 s
  20_06_05_1_044_01.wav                      0.0047    0.0417      4.64 s
  05_07_05_1_029_01.wav                      0.0047    0.0593      4.67 s
  12_07_05_1_050_01.wav                      0.0047    0.0605      4.64 s
  09_01_05_1_050_01.wav                      0.0047    0.0548      4.67 s
  05_06_05_1_009_01.wav                      0.0048    0.0584      4.64 s
  12_07_05_1_051_01.wav                      0.0048    0.0507      4.67 s
  05_01_05_1_054_01.wav                      0.0048    0.0467      4.64 s
  15_07_05_1_008_01.wav                      0.0048    0.0305      4.66 s
  12_06_05_1_069_01.wav                      0.0048    0.2661      3.28 s
  12_01_05_1_019_01.wav                      0.0048    0.0469      4.64 s
  20_06_05_1_051_01.wav                      0.0048    0.0470      4.67 s
  14_06_05_1_049_01.wav                      0.0048    0.0584      4.64 s
  12_06_05_1_024_01.wav                      0.0048    0.0610      4.64 s
  05_01_05_1_066_01.wav                      0.0048    0.0452      4.64 s
  12_05_05_1_033_01.wav                      0.0049    0.0565      4.64 s
  17_05_05_1_052_01.wav                      0.0049    0.0512      1.67 s
  05_07_05_1_023_01.wav                      0.0049    0.0426      4.67 s
  01_06_05_1_056_01.wav                      0.0049    0.0629      4.67 s
  05_06_05_1_045_01.wav                      0.0049    0.0500      4.64 s
  23_03_05_1_021_01.wav                      0.0049    0.0908      4.64 s
  12_06_05_1_056_01.wav                      0.0049    0.0639      4.64 s
  12_01_05_1_036_01.wav                      0.0049    0.0533      4.64 s
  05_00_05_1_020_01.wav                      0.0049    0.0977      4.67 s
  05_01_05_1_044_01.wav                      0.0050    0.0416      4.64 s
  13_01_05_1_020_01.wav                      0.0050    0.0889      4.64 s
  12_05_05_1_049_01.wav                      0.0050    0.0664      4.67 s
  05_01_05_1_025_01.wav                      0.0050    0.0608      4.64 s
  12_06_05_1_037_01.wav                      0.0050    0.0492      4.66 s
